DCD,Treatment,INN
624,No-Tillage,52.07920792
624,No-Tillage,52.07920792
624,Tillage,42.71356784
624,Tillage,42.71356784
624,Tillage,42.71356784
624,No-Tillage,54.15841584
624,No-Tillage,54.15841584
624,No-Tillage,54.15841584
624,Tillage,40.4
624,Tillage,40.4
624,Tillage,40.4
624,Tillage,31.14427861
624,Tillage,31.14427861
624,Tillage,31.14427861
624,No-Tillage,53.36633663
624,No-Tillage,53.36633663
624,No-Tillage,53.36633663
624,No-Tillage,35.47738693
624,No-Tillage,35.47738693
624,No-Tillage,35.47738693
624,Tillage,53.3
624,Tillage,53.3
624,Tillage,53.3
624,No-Tillage,60
624,No-Tillage,60
624,No-Tillage,60
624,Tillage,31.65829146
624,Tillage,31.65829146
624,Tillage,31.65829146
624,Tillage,57.78894472
624,Tillage,57.78894472
624,Tillage,57.78894472
624,No-Tillage,34.62686567
624,No-Tillage,34.62686567
624,No-Tillage,34.62686567
624,No-Tillage,51.94029851
624,No-Tillage,51.94029851
624,No-Tillage,51.94029851
624,Tillage,59.59798995
624,Tillage,59.59798995
624,Tillage,59.59798995
624,No-Tillage,50.15075377
624,No-Tillage,50.15075377
624,No-Tillage,50.15075377
624,Tillage,65.02512563
624,Tillage,65.02512563
624,Tillage,65.02512563
1264,Tillage,59.82089552
1264,Tillage,59.82089552
1264,Tillage,59.82089552
1264,No-Tillage,63.55223881
1264,No-Tillage,63.55223881
1264,No-Tillage,63.55223881
1264,Tillage,46.68656716
1264,Tillage,46.68656716
1264,Tillage,46.68656716
1264,No-Tillage,55.85074627
1264,No-Tillage,55.85074627
1264,No-Tillage,55.85074627
1264,Tillage,56.40201005
1264,Tillage,56.40201005
1264,Tillage,56.40201005
1264,No-Tillage,53.36
1264,No-Tillage,53.36
1264,No-Tillage,53.36
1264,Tillage,54.7960199
1264,Tillage,54.7960199
1264,Tillage,54.7960199
1264,No-Tillage,64.23762376
1264,No-Tillage,64.23762376
1264,No-Tillage,64.23762376
1264,No-Tillage,63.03030303
1264,No-Tillage,63.03030303
1264,No-Tillage,63.03030303
1264,Tillage,58.26600985
1264,Tillage,58.26600985
1264,Tillage,58.26600985
1264,No-Tillage,74.09950249
1264,No-Tillage,74.09950249
1264,No-Tillage,74.09950249
1264,Tillage,59.86934673
1264,Tillage,59.86934673
1264,Tillage,59.86934673
1264,Tillage,48.21105528
1264,Tillage,48.21105528
1264,Tillage,48.21105528
1264,No-Tillage,64.22110553
1264,No-Tillage,64.22110553
1264,No-Tillage,64.22110553
1264,No-Tillage,68.05050505
1264,No-Tillage,68.05050505
1264,No-Tillage,68.05050505
1264,Tillage,55.15151515
1264,Tillage,55.15151515
1264,Tillage,55.15151515
1264,No-Tillage,56.2020202
1264,No-Tillage,56.2020202
1264,No-Tillage,56.2020202
1264,Tillage,53.93969849
1264,Tillage,53.93969849
1264,Tillage,53.93969849
1264,Tillage,55.97979798
1264,Tillage,55.97979798
1264,Tillage,55.97979798
1264,No-Tillage,65.07537688
1264,No-Tillage,65.07537688
1264,No-Tillage,65.07537688
1264,No-Tillage,53.86069652
1264,No-Tillage,53.86069652
1264,No-Tillage,53.86069652
1264,Tillage,59.94
1264,Tillage,59.94
1264,Tillage,59.94
1264,No-Tillage,55.46733668
1264,No-Tillage,55.46733668
1264,No-Tillage,55.46733668
1264,Tillage,50.73631841
1264,Tillage,50.73631841
1264,Tillage,50.73631841
2043,Tillage,46.4321608
2043,Tillage,46.4321608
2043,Tillage,46.4321608
2043,No-Tillage,41.42424242
2043,No-Tillage,41.42424242
2043,No-Tillage,41.42424242
2043,Tillage,43.39698492
2043,Tillage,43.39698492
2043,Tillage,43.39698492
2043,No-Tillage,43.14
2043,No-Tillage,43.14
2043,No-Tillage,43.14
2043,Tillage,41.43718593
2043,Tillage,41.43718593
2043,Tillage,41.43718593
2043,No-Tillage,43.03
2043,No-Tillage,43.03
2043,No-Tillage,43.03
2043,Tillage,42.87562189
2043,Tillage,42.87562189
2043,Tillage,42.87562189
2043,No-Tillage,41.23232323
2043,No-Tillage,41.23232323
2043,No-Tillage,41.23232323
2043,No-Tillage,44.36180905
2043,No-Tillage,44.36180905
2043,No-Tillage,44.36180905
2043,Tillage,42.87437186
2043,Tillage,42.87437186
2043,Tillage,42.87437186
2043,No-Tillage,40.92462312
2043,No-Tillage,40.92462312
2043,No-Tillage,40.92462312
2043,Tillage,43.72727273
2043,Tillage,43.72727273
2043,Tillage,43.72727273
2043,Tillage,89.32323232
2043,Tillage,89.32323232
2043,Tillage,89.32323232
2043,No-Tillage,43.78894472
2043,No-Tillage,43.78894472
2043,No-Tillage,43.78894472
2043,No-Tillage,42.84848485
2043,No-Tillage,42.84848485
2043,No-Tillage,42.84848485
2043,Tillage,37.53465347
2043,Tillage,37.53465347
2043,Tillage,37.53465347
2043,No-Tillage,41.62561576
2043,No-Tillage,41.62561576
2043,No-Tillage,41.62561576
2043,Tillage,43.2238806
2043,Tillage,43.2238806
2043,Tillage,43.2238806
2043,Tillage,41.97979798
2043,Tillage,41.97979798
2043,Tillage,41.97979798
2043,No-Tillage,41.16
2043,No-Tillage,41.16
2043,No-Tillage,41.16
2043,No-Tillage,43.3030303
2043,No-Tillage,43.3030303
2043,No-Tillage,43.3030303
2043,Tillage,42.59701493
2043,Tillage,42.59701493
2043,Tillage,42.59701493
2043,No-Tillage,40.57286432
2043,No-Tillage,40.57286432
2043,No-Tillage,40.57286432
2043,Tillage,44.57286432
2043,Tillage,44.57286432
2043,Tillage,44.57286432
2470,Tillage,42.55276382
2470,Tillage,42.55276382
2470,Tillage,42.55276382
2470,No-Tillage,40.18090452
2470,No-Tillage,40.18090452
2470,No-Tillage,40.18090452
2470,Tillage,39.11557789
2470,Tillage,39.11557789
2470,Tillage,39.11557789
2470,No-Tillage,41.92964824
2470,No-Tillage,41.92964824
2470,No-Tillage,41.92964824
2470,Tillage,42.95477387
2470,Tillage,42.95477387
2470,Tillage,42.95477387
2470,No-Tillage,39.24242424
2470,No-Tillage,39.24242424
2470,No-Tillage,39.24242424
2470,Tillage,44.27722772
2470,Tillage,44.27722772
2470,Tillage,44.27722772
2470,No-Tillage,38.84422111
2470,No-Tillage,38.84422111
2470,No-Tillage,38.84422111
2470,No-Tillage,42.61306533
2470,No-Tillage,42.61306533
2470,No-Tillage,42.61306533
2470,Tillage,39.48484848
2470,Tillage,39.48484848
2470,Tillage,39.48484848
2470,No-Tillage,40.86567164
2470,No-Tillage,40.86567164
2470,No-Tillage,40.86567164
2470,Tillage,39.81909548
2470,Tillage,39.81909548
2470,Tillage,39.81909548
2470,Tillage,38.09
2470,Tillage,38.09
2470,Tillage,38.09
2470,No-Tillage,36.04
2470,No-Tillage,36.04
2470,No-Tillage,36.04
2470,No-Tillage,36.08040201
2470,No-Tillage,36.08040201
2470,No-Tillage,36.08040201
2470,Tillage,36.49
2470,Tillage,36.49
2470,Tillage,36.49
2470,No-Tillage,37.35678392
2470,No-Tillage,37.35678392
2470,No-Tillage,37.35678392
2470,Tillage,40.12121212
2470,Tillage,40.12121212
2470,Tillage,40.12121212
2470,Tillage,38.5959596
2470,Tillage,38.5959596
2470,Tillage,38.5959596
2470,No-Tillage,41.68844221
2470,No-Tillage,41.68844221
2470,No-Tillage,41.68844221
2470,No-Tillage,40.04901961
2470,No-Tillage,40.04901961
2470,No-Tillage,40.04901961
2470,Tillage,44.09090909
2470,Tillage,44.09090909
2470,Tillage,44.09090909
2470,No-Tillage,46.89447236
2470,No-Tillage,46.89447236
2470,No-Tillage,46.89447236
2470,Tillage,38.67
2470,Tillage,38.67
2470,Tillage,38.67
3433,Tillage,53.87878788
3433,Tillage,53.87878788
3433,Tillage,53.87878788
3433,No-Tillage,37.33
3433,No-Tillage,37.33
3433,No-Tillage,37.33
3433,Tillage,28.64646465
3433,Tillage,28.64646465
3433,Tillage,28.64646465
3433,No-Tillage,38.45454545
3433,No-Tillage,38.45454545
3433,No-Tillage,38.45454545
3433,Tillage,27.36318408
3433,Tillage,27.36318408
3433,Tillage,27.36318408
3433,No-Tillage,30.12060302
3433,No-Tillage,30.12060302
3433,No-Tillage,30.12060302
3433,Tillage,27.65
3433,Tillage,27.65
3433,Tillage,27.65
3433,No-Tillage,23.59798995
3433,No-Tillage,23.59798995
3433,No-Tillage,23.59798995
3433,No-Tillage,32.51485149
3433,No-Tillage,32.51485149
3433,No-Tillage,32.51485149
3433,Tillage,36.8040201
3433,Tillage,36.8040201
3433,Tillage,36.8040201
3433,No-Tillage,30.25125628
3433,No-Tillage,30.25125628
3433,No-Tillage,30.25125628
3433,Tillage,24.26262626
3433,Tillage,24.26262626
3433,Tillage,24.26262626
3433,Tillage,65.44278607
3433,Tillage,65.44278607
3433,Tillage,65.44278607
3433,No-Tillage,32.15
3433,No-Tillage,32.15
3433,No-Tillage,32.15
3433,No-Tillage,44.90909091
3433,No-Tillage,44.90909091
3433,No-Tillage,44.90909091
3433,Tillage,39.10891089
3433,Tillage,39.10891089
3433,Tillage,39.10891089
3433,No-Tillage,40.05050505
3433,No-Tillage,40.05050505
3433,No-Tillage,40.05050505
3433,Tillage,28.09
3433,Tillage,28.09
3433,Tillage,28.09
3433,Tillage,24.67676768
3433,Tillage,24.67676768
3433,Tillage,24.67676768
3433,No-Tillage,28.93939394
3433,No-Tillage,28.93939394
3433,No-Tillage,28.93939394
3433,No-Tillage,25.86934673
3433,No-Tillage,25.86934673
3433,No-Tillage,25.86934673
3433,Tillage,33.07920792
3433,Tillage,33.07920792
3433,Tillage,33.07920792
3433,No-Tillage,30.17171717
3433,No-Tillage,30.17171717
3433,No-Tillage,30.17171717
3433,Tillage,28.94949495
3433,Tillage,28.94949495
3433,Tillage,28.94949495
